Task,Execution Time,Memory Usage,Book,nbCharacter
Egrep,609,159,10549.txt,741458
EgrepLike,4663,1797,10550.txt,773914
KMP,2504,1618,10550.txt,773914
Egrep,624,149,10550.txt,773914
EgrepLike,1721,708,10551.txt,309860
KMP,825,678,10551.txt,309860
Egrep,568,138,10551.txt,309860
EgrepLike,1428,708,10552.txt,250613
KMP,653,562,10552.txt,250613
Egrep,563,143,10552.txt,250613
EgrepLike,6974,2048,10555.txt,1175451
KMP,3217,2048,10555.txt,1175451
Egrep,607,162,10555.txt,1175451
EgrepLike,2511,974,10556.txt,428640
KMP,1147,812,10556.txt,428640
Egrep,604,164,10556.txt,428640
EgrepLike,186,324,10557.txt,23538
KMP,66,162,10557.txt,23538
Egrep,524,164,10557.txt,23538
EgrepLike,3864,1407,10560.txt,653332
KMP,2216,1412,10560.txt,653332
Egrep,567,159,10560.txt,653332
EgrepLike,279,313,10561.txt,43563
KMP,116,156,10561.txt,43563
Egrep,571,159,10561.txt,43563
EgrepLike,278,313,10562.txt,43427
KMP,114,156,10562.txt,43427
Egrep,593,159,10562.txt,43427
EgrepLike,282,313,10563.txt,43312
KMP,114,156,10563.txt,43312
Egrep,562,159,10563.txt,43312
EgrepLike,283,313,10564.txt,43535
KMP,115,156,10564.txt,43535
Egrep,581,159,10564.txt,43535
EgrepLike,280,313,10565.txt,42033
KMP,110,156,10565.txt,42033
Egrep,593,159,10565.txt,42033
EgrepLike,281,313,10566.txt,42083
KMP,110,156,10566.txt,42083
Egrep,608,159,10566.txt,42083
EgrepLike,286,313,10567.txt,44104
KMP,121,156,10567.txt,44104
Egrep,553,158,10567.txt,44104
EgrepLike,275,313,10568.txt,42017
KMP,115,156,10568.txt,42017
Egrep,601,159,10568.txt,42017
EgrepLike,270,313,10569.txt,41446
KMP,114,156,10569.txt,41446
Egrep,574,159,10569.txt,41446
EgrepLike,294,313,10570.txt,41858
KMP,112,156,10570.txt,41858
Egrep,613,158,10570.txt,41858
EgrepLike,286,313,10571.txt,44183
KMP,118,156,10571.txt,44183
Egrep,594,159,10571.txt,44183
EgrepLike,278,313,10572.txt,41400
KMP,108,156,10572.txt,41400
Egrep,560,159,10572.txt,41400
EgrepLike,1581,730,10573.txt,278845
KMP,736,599,10573.txt,278845
Egrep,545,152,10573.txt,278845
EgrepLike,8191,2584,10574.txt,1437077
KMP,3904,2521,10574.txt,1437077
Egrep,586,158,10574.txt,1437077
EgrepLike,1968,769,10575.txt,342536
KMP,933,751,10575.txt,342536
Egrep,565,152,10575.txt,342536
EgrepLike,1726,713,10576.txt,297871
KMP,782,595,10576.txt,297871
Egrep,639,151,10576.txt,297871
EgrepLike,2156,933,10578.txt,350393
KMP,1088,787,10578.txt,350393
Egrep,568,160,10578.txt,350393
EgrepLike,1589,727,10579.txt,272660
KMP,713,591,10579.txt,272660
Egrep,598,150,10579.txt,272660
EgrepLike,1768,443,10580.txt,165148
KMP,429,295,10580.txt,165148
Egrep,656,149,10580.txt,165148
EgrepLike,1983,726,10581.txt,339382
KMP,916,711,10581.txt,339382
Egrep,605,143,10581.txt,339382
EgrepLike,641,426,10582.txt,99656
KMP,300,284,10582.txt,99656
Egrep,605,144,10582.txt,99656
EgrepLike,4781,1543,10583.txt,821782
KMP,2273,1481,10583.txt,821782
Egrep,581,160,10583.txt,821782
EgrepLike,1575,727,10584.txt,279287
KMP,717,591,10584.txt,279287
Egrep,553,150,10584.txt,279287
